Date,Open,High,Low,Close,Volume
03/12/2024,"14.35","14.84","14.09","14.72","2,382,616"
03/11/2024,"14.64","14.94","14.36","14.43","2,111,889"
03/08/2024,"15.40","15.63","14.52","14.65","3,169,763"
03/07/2024,"15.26","15.51","15.05","15.26","2,111,912"
03/06/2024,"15.22","15.89","14.94","15.26","3,818,096"
03/05/2024,"14.95","15.28","14.78","15.00","3,152,726"
03/04/2024,"14.93","15.59","14.83","15.22","4,367,601"
03/01/2024,"14.18","15.09","13.99","14.95","4,899,457"
02/29/2024,"14.34","14.65","14.03","14.27","2,638,703"
02/28/2024,"14.00","14.47","13.89","14.24","2,440,715"
02/27/2024,"13.70","14.29","13.68","14.21","2,795,509"
02/26/2024,"13.31","13.75","13.20","13.68","2,278,614"
02/23/2024,"13.30","13.79","13.12","13.51","2,319,731"
02/22/2024,"13.50","13.65","13.34","13.36","1,817,822"
02/21/2024,"13.46","13.67","13.23","13.41","1,731,270"
02/20/2024,"13.96","14.05","13.16","13.49","3,784,513"
02/16/2024,"14.46","14.53","14.10","14.12","2,301,927"
02/15/2024,"14.54","14.75","14.23","14.51","2,400,542"
02/14/2024,"14.33","14.43","14.05","14.41","2,504,419"
02/13/2024,"14.20","14.40","13.77","14.17","3,788,691"
02/12/2024,"14.58","15.22","14.53","14.73","2,750,144"
